Pair,Treatment,ρ,p,sig
Label Accuracy × Label Clarity,GPT-5.1,0.584,0.0,*
Label Accuracy × Label Clarity,Qwen3.5-4B,0.203,0.1872,ns
Label Accuracy × Label Clarity,Combined,0.416,0.0001,*
Label Accuracy × Explainability,GPT-5.1,0.421,0.0045,*
Label Accuracy × Explainability,Qwen3.5-4B,0.337,0.0252,*
Label Accuracy × Explainability,Combined,0.439,0.0,*
Label Accuracy × Faithfulness,GPT-5.1,0.606,0.0,*
Label Accuracy × Faithfulness,Qwen3.5-4B,0.648,0.0,*
Label Accuracy × Faithfulness,Combined,0.641,0.0,*
Label Clarity × Explainability,GPT-5.1,0.384,0.01,*
Label Clarity × Explainability,Qwen3.5-4B,0.113,0.4641,ns
Label Clarity × Explainability,Combined,0.291,0.0059,*
Label Clarity × Faithfulness,GPT-5.1,0.38,0.0108,*
Label Clarity × Faithfulness,Qwen3.5-4B,0.253,0.0976,ns
Label Clarity × Faithfulness,Combined,0.358,0.0006,*
Explainability × Faithfulness,GPT-5.1,0.631,0.0,*
Explainability × Faithfulness,Qwen3.5-4B,0.236,0.1236,ns
Explainability × Faithfulness,Combined,0.502,0.0,*
